Name,url svg,url gif,url webp,url littie.json
Cross-mark,https://fonts.gstatic.com/s/e/notoemoji/latest/274c/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/274c/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/274c/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/274c/lottie.json
Sos,https://fonts.gstatic.com/s/e/notoemoji/latest/1f198/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f198/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f198/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f198/lottie.json
Phone-off,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f4/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f4/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f4/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f4/lottie.json
Check-mark,https://fonts.gstatic.com/s/e/notoemoji/latest/2705/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2705/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2705/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2705/lottie.json
New,https://fonts.gstatic.com/s/e/notoemoji/latest/1f195/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f195/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f195/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f195/lottie.json
Free,https://fonts.gstatic.com/s/e/notoemoji/latest/1f193/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f193/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f193/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f193/lottie.json
Up!,https://fonts.gstatic.com/s/e/notoemoji/latest/1f199/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f199/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f199/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f199/lottie.json
Cool,https://fonts.gstatic.com/s/e/notoemoji/latest/1f192/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f192/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f192/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f192/lottie.json
Litter,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ae/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ae/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ae/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ae/lottie.json
Musical-notes,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b6/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b6/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b6/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b6/lottie.json
Plus-sign,https://fonts.gstatic.com/s/e/notoemoji/latest/2795/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2795/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2795/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2795/lottie.json
Chequered-flag,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/lottie.json
Chequered-flag,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3c1/lottie.json
Triangular-flag,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6a9/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6a9/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6a9/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6a9/lottie.json
Black-flag,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f4/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f4/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f4/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f4/lottie.json
White-flag,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f3_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f3_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f3_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3f3_fe0f/lottie.json
